Prof Name,Course Number
Naveen Jit,ABOD 1007
Naveen Jit,ABOD 1017
Vnit Nath,ACCG 5110
Juan Azmitia,ACCG 5150
Bernadette Edwards,ACCG 6210
Hala Rawji,ACCG 6410
Connor Hofler,ACES 0015
Connor Hofler,ACES 0020
Clarence Burlock,ACIM 5010
Nathan Chapin,ACIM 5040
Michael Coughlin,AHVC 1126
Hamed Tahmooressi,AICO 1000
James Bartz,AICO 1000
Judy Shandler,AICO 1000
Kamal Pohar,AICO 1000
Sahar Banisoltan,AICO 1000
Judy Shandler,AICO 2000
Kamal Pohar,AICO 2000
Paul Morrison,AICO 2000
Hamed Tahmooressi,AICO 3001
Brian Hahn,AICO 3010
Sam Bahmanoo,AICO 3025
Cyrus Raoufi,AICO 4048
Mohammad Alemi,AICO 4048
Ranbir Ajji,AICO 4148
Roberta McPhail,APIC 1191
Jonathan Bassan,APRE 3500
Moein Manbachi,APRE 4110
Bradly McLaughlin,ASCM 1000
Brett Mewett,ASCM 1000
Leigh Boccius,ASCM 1000
Manly Sitter,ASCM 2000
Joanne Massey,ASCT 1010
Kelly Wightman,ASCT 1015
Joanne Massey,ASCT 1020
Adrian Fitzpatrick,AUTO 1020
Shauna Begley,BABI 7800
Leslie Major,BABI 8800
Ashif Jivraj,BCST 0060
Chris Brandt,BCST 1005
Brian Wiebe,BCST 1150
Randall Jacobs,BCST 1151
Sandro Licastro,BCST 1160
Julia Foy,BCST 1170
Brian Wiebe,BCST 1173
Gabriel Colome,BCST 1180
Reinecken Reinecken de Araujo,BCST 1180
Alan Waterman,BCST 1190
Zahra Darvishian,BCST 1198
Cindy Leaney,BCST 1225
Pat McGee,BCST 1239
Ken McGrath,BCST 1256
Andy Scheier,BCST 1260
David Brigden,BCST 1260
Christine Blanchette,BCST 1281
Zahra Darvishian,BCST 2198
Reinecken Reinecken de Araujo,BCST 2282
Josh Pratt,BCST 2290
Martin Strong,BCST 3121
Tammy Bentz,BCST 3251
Karen Tankard,BCST 3259
Carlo Tala,BHSC 0110
Bassam Nyaeme,BHSC 1119
Bassam Nyaeme,BHSC 1200
Cindy Xu,BHSC 1200
Kaitlin Marshall,BHSC 1200
Jane Hobson,BHSC 3302
Philip Wong,BHSC 6100
Izelde van Jaarsveld,BLAW 3100
Joao Molinari,BLAW 3100
Marlize van Jaarsveld,BLAW 3100
Robert Munro,BLAW 3100
Joao Molinari,BLAW 3205
Izelde van Jaarsveld,BLAW 3905
Karla Gonzalez,BLAW 3905
Marlize van Jaarsveld,BLAW 3905
Tj Schmaltz,BLAW 3905
Liz Penner,BLDC 1010
Pilar Bonilla,BLDC 1010
Israr Rahimi,BLDC 1020
Pilar Bonilla,BLDC 1020
David Ngai,BLDC 1030
Ranveer Sandhu,BLDC 1050
Ricardo Grasselli,BLDC 1050
Timothy Bryant,BLDC 1050
Douglas Millar,BLDC 1200
Douglas Millar,BLDC 1205
Jason Chow,BLDC 1300
Ranveer Sandhu,BLDC 1300
Ricardo Grasselli,BLDC 1300
Stephen Cote-Rolvink,BLDC 1500
Tony Bartko,BLDC 1500
Franco Tessari,BLDC 2000
Franco Tessari,BLDC 2005
Timothy Bryant,BLDC 2050
David Ngai,BLDC 2150
Thomas Bradmore,BLDC 2205
Vikram Sandhu,BLDC 2300
Tony Yen,BLDC 2400
Thomas Jang,BLDC 2405
Christopher Black,BLDC 3050
John Lovatt,BLDC 3050
Timothy Bryant,BLDC 3060
Timothy Bryant,BLDC 3150
Ajmer Sekhon,BLDC 3300
James Iversen,BLDC 3400
