Prof Name,Course Number
"AI, Ethics and Society",PHIL 1110
Aaron Nelson,FINA 2162
Ada Nilda Vera Oviedo,FINA 1142
Ada Nilda Vera Oviedo,FINA 2161
Ada Nilda Vera Oviedo,RP 2140
Adnan Reza,CPSC 2030
Adnan Reza,CPSC 2600
Adolfina Miranda-Barrios,ABST 1100
Adolfina Miranda-Barrios,ABST 1150
Advanced Ceramics I,RP 2110
Akash Rattan,FMGT 3121
Alexander Boston,PHIL 1100
Alexander Boston,PHIL 1101
Alexander Boston,PHIL 1125
Alexander Grammatikos,CMNS 1118
Alexander Grammatikos,ENGL 1123
Algrthms & Data Strctrs I,CPSC 1160
Alireza Habibzadeh Gharehbaba,CPSC 1091
Alireza Osareh,CPSC 2190
Alison Rukavina,ENGL 1123
Alison Rukavina,ENGL 1129
Alison Rukavina,NURS 5130
Allyson Schweitzer,KINS 1131
Alwyn O'Brien,FINA 1111
Alwyn O'Brien,FINA 2115
Alwyn O'Brien,RP 2110
Amy Flanigan,ECED 1112
Amy Flanigan,ECED 1116
Amy Flanigan,ECED 1310
Amy Flanigan,RP 1329
Andrea Dawson,RP 1301
Andrea Dawson,RP 1319
Andrea Dawson,RP 2419
Andrea James,ECED 1116
Andrea James,ECED 1217
Andrea James,ECED 2415
Andree Faucher,CRIM 1213
Andree Faucher,CRIM 2104
Andrew Egan,GEOG 1120
Andrew Egan,GEOG 1150
Andrew Egan,GEOG 2210
Andrew Mosi,CHEM 1114
Andrew Mosi,CHEM 1117
Andrew Roberts,MATH 1170
Andrew Roberts,MATH 1273
Andrew Roberts,MATH 1283
Angel Chen,PSYC 1115
Angel Chen,PSYC 2322
Anne Muscat,KINS 1150
Anne Muscat,KINS 2205
Anoush Dadgar,BIOL 1115
Anoush Dadgar,BIOL 1215
Anton Chernoff,ENGL 1123
Antonella Alves,RP 4840
Anupama Gupta,CPSC 1150
Anupama Gupta,CPSC 2130
Ao Ao Feng,CPSC 1045
Applied Project,RP 2199
Archaeology and Living Trad,ANTH 1224
Arezoo Ariafar,CPSC 2130
Arezoo Ariafar,CPSC 2350
Art in the Age of Encounter,AHIS 1218
Asha Kooner,RP 2260
Ashley Edwards,LIBR 2495
Aubyn Rader,ENGL 1123
Aubyn Rader,ENGL 1130
Aurora Landin,FINA 1171
Aurora Landin,RP 2120
Aurora Landin,RP 2171
Aurora Yaratzeth Aviles Garcia,AHIS 1118
Avram Agov,ASIA 1125
Avram Agov,ASIA 1155
"Avram Agov, Nariko Takayanagi",ASIA 1100
"Avram Agov, Nariko Takayanagi",ASIA 1101
Azadeh Alimadad,STAT 1124
Azadeh Alimadad,STAT 1181
Aziz Rajwani,FMGT 1115
Aziz Rajwani,FMGT 2371
Aziz Rajwani,FMGT 2474
Aziz Rajwani,RP 4865
Baljit Khun-Khun,RP 3261
Bandanjit Sanghera-Moore,RP 5280
Barry Link,JOUR 1142
Barry Link,JOUR 2380
Basic Physics,PHYS 1114
Beginner's French I,FREN 1115
Beginner's Japanese I,JAPN 1115
Benjamin Wood,ASIA 2210
Benjamin Wood,ASIA 2240
Bernard Maroney,BUSM 2450
Bernard Maroney,RP 4850
Bernard Maroney,RP 4855
Beth Rizzardo,KINS 1120
Bhavneet Sidhu,CSIS 2500
Bich-Ngoc Cao Nguyen,MATH 1173
Bich-Ngoc Cao Nguyen,MATH 1183
Bich-Ngoc Cao Nguyen,MATH 2362
Bijan Farrahi,CPSC 1050
Biol of Algae Bryophytes Fungi,BIOL 2440
Biomechanics I,KINS 2215
Bita Shadgar,CPSC 1050
Bita Shadgar,CPSC 2150
Bojiang Ma,CPSC 1030
Bojiang Ma,CPSC 1045
Brad Gibson,THEA 1130
Brad Gibson,THEA 1230
Brad Gibson,THEA 2230
"Brad Gibson, Aaron Bushkowsky, Andrew McNee, Jennifer L Andersen, Michelle Olson",THEA 2140
"Brad Gibson, Aaron Bushkowsky, Jennifer L Andersen, Raes Calvert",THEA 1240
"Brad Gibson, Andrew McNee, Colin Murdock, David Bloom, David Hudgins, Kathleen McDonagh, Kerry Sandomirsky, Michelle Olson, Shelley Hunt, Wendy Gorling",THEA 3150
"Brad Gibson, Andrew McNee, Colin Murdock, David Bloom, David Hudgins, Kathleen McDonagh, Kerry Sandomirsky, Michelle Olson, Shelley Hunt, Wendy Gorling",THEA 3250
"Brad Gibson, Andrew McNee, David Bloom, Kathleen McDonagh, Michelle Olson",THEA 2240
"Brad Gibson, Andrew McNee, David Hudgins",THEA 1110
"Brad Gibson, Andrew McNee, David Hudgins",THEA 2110
"Brad Gibson, Andrew McNee, David Hudgins, Janin Palahicky, Kerry Sandomirsky",THEA 2210
"Brad Gibson, Andrew McNee, Jennifer L Andersen, Mara Gottler, Wendy Gorling",THEA 1140
"Brad Gibson, David Hudgins, Raes Calvert",THEA 1210
"Brad Gibson, Jennifer L Andersen",THEA 2130
"Brad Gibson, Kathleen McDonagh",THEA 2220
"Brad Gibson, Kathleen McDonagh, Michelle Olson, Shelley Hunt, Wendy Gorling",THEA 1120
"Brad Gibson, Kathleen McDonagh, Michelle Olson, Shelley Hunt, Wendy Gorling",THEA 1220
"Brad Gibson, Kathleen McDonagh, Shelley Hunt",THEA 2120
Bradley Hughes,PHYS 1118
Brent Day,KINS 1100
Brent Day,KINS 2030
Brent Day,KINS 3303
Brent Kennedy,BCAP 3200
Brent Kennedy,RP 4820
Brenton Flodin,KINS 2215
Brenton Flodin,KINS 2235
Brooke Raphael,RP 2109
"Brooke Raphael, Alexandra Vickers, Harpreet Sandhu, Olivia Li, Rabinder Chahl",RP 2163
"Brooke Raphael, Benjamin Russell, Courtney Bercan, Eric Worrall",RP 2163
Bryan Breguet,ECON 1119
Bryan Breguet,ECON 1221
Bryan Green,CPSC 1050
Bryan Green,CPSC 1150
Business Computer Applns I,BCAP 1200
Cam MacDonald,BIOL 1215
Capstone Project,RP 4985
Carly Elliott,RP 3209
Caroline Harvey,ENGL 1100
Caroline Harvey,ENGL 1123
Caroline Ross,RP 2305
Caroline Ross,RP 2420
Carolye Kuchta,ENGL 1121
Carolye Kuchta,ENGL 1123
Carrie Siew Fang Sim,RP 1114
Cassandra Bill,ANTH 1120
Cassandra Bill,ANTH 1131
Cassandra Bill,ANTH 2234
Caterina Cavicchioli,CMNS 1118
Caterina Cavicchioli,ENGL 1181
Catharine O'Brien-Bell,PHOT 1100
Catharine O'Brien-Bell,PHOT 1110
Catharine O'Brien-Bell,PHOT 1150
Catharine O'Brien-Bell,RP 1151
Catherine Glass,HSCI 1160
Catherine Glass,HSCI 2212
Catherine Glass,HSCI 2230
Cesar Lopez Castellanos,APSC 1010
Cesar Lopez Castellanos,CPSC 1045
Cesar Lopez Castellanos,CPSC 2350
Charles Go,NUTR 1100
Charles Go,RP 2322
Charlotte Waugh,KINS 2205
Chinmaya Mahapatra,CPSC 3280
Chinmaya Mahapatra,CPSC 4160
Chinmaya Mahapatra,RP 4830
Choji Hayashi,JAPN 1115
Choji Hayashi,JAPN 1215
Chris Schmidt,CPSC 1181
Christine Nystrom,RP 2161
Christopher Nowlin,CRIM 1116
Christopher Nowlin,CRIM 1216
Christopher Nowlin,CRIM 2316
Christopher Prevost,RP 2310
Ciara Lawlor,CMNS 1118
Ciara Lawlor,ENGL 1129
Claire Anderson,CMNS 1115
Claire Anderson,ENGL 1123
Cmns for Creative Professional,CMNS 1122
Cncpts in Biol: Intro Hum Bio,BIOL 1111
Cndn Cltrl Stds: Art Stry Cnd,CNST 1160
Colin Mills,GEOG 1110
Colin Mills,GEOG 1130
Colin Mills,GEOG 2270
Collin Ho-Lun Li,SOCI 1120
Collin Ho-Lun Li,SOCI 1123
Cristina Eftenaru,RP 4814
"Cristina Follador, Baljit Khun-Khun, Helen Jackson, Mary Peters, Montana Andreola",RP 3265
Critical Thinking,PHIL 1104
Csilla Tamas,APSC 1000
Csilla Tamas,MATH 1171
Cultural Fndtns of East Asia,ASIA 2200
Dale Montgomery,HIST 1115
Dale Montgomery,HIST 2240
Dale Montgomery,HIST 2295
Dale West,LIBR 1118
Dale West,LIBR 2328
Dana Maslovat,KINS 2211
Daniel Poirier,ENGL 1123
Daniel Poirier,ENGL 1129
Daniel Poirier,ENGL 2236
Danielle DeGagne,FSRV 1213
Danielle Rockel,RP 4200
Danielle Rockel,RP 4300
Darren Taylor,RP 4870
Darren Taylor,RP 4875
Dave Savard,DSGN 2155
Dave Savard,RP 2351
David Alba,RP 2152
David Borys,HIST 1116
David Borys,HIST 1126
David Borys,HIST 2217
David Borys,HIST 2247
David Brownstein,RP 2199
David Chan,FMGT 1115
Debra Nelson,SSRV 1115
"Debra Nelson, Shelley Rivkin",SSRV 1132
Decolonizing the Dsgn Process,DSGN 1400
Deland Jessop,BUSM 1115
Deland Jessop,BUSM 1500
"Denise Thomas, Hardeep Heir, Helen Jackson, Kelly Hughes, Sarah Reeves, Sarbjit Jaswal, Simer Basi",RP 4265
Diana Leong,FMGT 2293
Dionne Ng,RP 2160
Dionne Ng,RP 5265
Dionne Ng,RP 5275
Dionne Orrange,BUSM 3000
Dionne Orrange,RP 4800
"Dionne Orrange, Sue Hyun Yang",COOP 2301
"Dionne Orrange, Sue Hyun Yang",COOP 2302
"Dionne Orrange, Sue Hyun Yang",COOP 2303
"Dionne Orrange, Sue Hyun Yang",COOP 2314
"Dionne Orrange, Sue Hyun Yang",COOP 2501
"Dionne Orrange, Sue Hyun Yang",COOP 2502
"Dionne Orrange, Sue Hyun Yang",COOP 2503
"Dionne Orrange, Sue Hyun Yang",COOP 2514
"Dionne Orrange, Sue Hyun Yang",COOP 3301
"Dionne Orrange, Sue Hyun Yang",COOP 3302
"Dionne Orrange, Sue Hyun Yang",COOP 3303
"Dionne Orrange, Sue Hyun Yang",COOP 4301
"Dionne Orrange, Sue Hyun Yang",COOP 4302
"Dionne Orrange, Sue Hyun Yang",COOP 4303
Dolores Gambroudes,SPAN 1115
Dolores Gambroudes,SPAN 2119
Effie Klein,JOUR 1100
Effie Klein,JOUR 1220
Effie Klein,JOUR 2398
Eliane Macdonald,APPL 5110
"Emeka Ononeze, Janell Cosco, Katherine Gavino, Ravinder Rakhra",RP 5285
Emel Tastekin,CMNS 1114
Emel Tastekin,ENGL 1130
Emily Cheung,SOCI 1121
Emily Cheung,SOCI 1127
Envir Chem for Arts Majors II,CHEM 1217
Environmental Economics,ECON 2260
Erfan Rezaie,PHYS 1101
Erfan Rezaie,PHYS 1125
Eric Aderneck,APPL 4110
Eric Aderneck,APPL 5195
Eric Simons,ANTH 1120
Eric Simons,ANTH 1132
Eric Stewart,PHOT 1125
Eric Stewart,RP 2325
Eric Worrall,RP 2109
Erica Bulman,JOUR 1122
Erica Tiffany,APPL 5120
Erica Tiffany,APPL 5140
Erin MacWilliam,CMNS 1118
Erin MacWilliam,ENGL 1123
Erin MacWilliam,ENGL 2234
Erin Robb,CMNS 2228
Erin Robb,ENGL 1129
Erin Robb,ENGL 2233
Erin Wilkins,RP 2388
Erin Wilkins,RP 2470
Erin Wilkins,RP 3120
Erin Wilkins,RP 3200
Erin Yorke,EDAS 1120
"Erin Yorke, Leslie Burgess, Miranda Winn",RP 1211
Eugene Belchev,MATH 1171
Farah Leplat,FREN 1115
Farah Leplat,FREN 1215
Farhad Dastur,PSYC 1215
Farhad Dastur,PSYC 3220
Field School,BIOL 2105
Financial Accounting I,FMGT 1115
Financial Accounting II,FMGT 1215
Fiona Hunt,LIBR 1111
"Fiona Hunt, Christopher Reimer",LIBR 1111
Francesca Deveau,RP 3200
Francesca Deveau,RP 4300
Francesca Deveau,RP 4810
Francesca de Freitas,RP 2411
Frederic Jombart,FREN 1115
Frederic Jombart,FREN 1117
Full Stack Web Development II,CPSC 2650
Gagun Chhina,SOCI 1120
Games and Culture,SOCI 1888
Gayathri Murthy,NUTR 2212
Gayathri Murthy,NUTR 3100
Gayle Hayashi,BUSM 2200
Geoffrey Carr,AHIS 1113
Geoffrey Carr,AHIS 1219
Geoffrey Carr,AHIS 1302
Geoffrey Carr,AHIS 2250
Geoffrey Gooderham,PSYC 1215
Geoffrey Gooderham,PSYC 2323
Gillian Corbo,KINS 1100
Gillian Corbo,KINS 1110
Ginette Dube,LAMS 1104
Gladys Monagan,CPSC 1155
Glenn Deefholts,ENGL 1123
Gordon Chan,BCAP 1200
Gordon Roe,ANTH 1120
Gordon Roe,ANTH 1170
Grant Mowbray,FMGT 1321
Grant Mowbray,RP 3263
Grant Mowbray,RP 4880
Graphic Design for Web,WMDD 4800
Graphics Technique Fundamental,WMDD 4811
Gregory Holditch,CMNS 1118
Gregory Holditch,ENGL 1130
Gregory Holditch,ENGL 2237
Gregory Slawson,RP 3367
"Gurpreet Grewal, Alexander Chow, Benjamin Harris, Christian Clado, Emily Van Vliet, Kathryn Slowski",RP 2263
"Gurpreet Grewal, Asha Kooner, Badanjit Litt, Lanie Fajardo, Simer Basi",RP 2263
Guy Robertson,LIBR 1120
HTML/CSS I,WMDD 4815
Haleh Amini,RP 3367
"Haleh Amini, Daya Gill, Gregory Slawson, Sara Thind, Sarbjit Jaswal",RP 3364
Haley Montgomery,HSCI 1120
Haley Montgomery,HSCI 2214
Haley Montgomery,KINS 2262
Han Qi Zhao,BIOL 1175
Han Qi Zhao,BIOL 1190
Hannah Gustafson,APSC 1050
Hannah Gustafson,KINS 2215
Hardeep Farwaha,CHEM 1118
Hardeep Farwaha,CHEM 1154
Hau Man Yeung,RP 4810
Hau Man Yeung,RP 4820
Hau Man Yeung,RP 4850
Hazra Imran,CPSC 1050
Hazra Imran,CPSC 2221
Health and Exercise Management,KINS 1120
Heather Workman,EXPE 2300
Heidi Currie,CRIM 1125
Heidi Currie,CRIM 2417
Helene Lestage,PSYC 1215
Helene Lestage,PSYC 2341
Hengameh Hamavand,CPSC 1150
Hoshiar Gosal,MATH 1118
Hoshiar Gosal,MATH 4800
Hoshiar Gosal,RP 3100
Hoshiar Gosal,RP 4810
Hossein Darbandi,CPSC 1150
Hossein Darbandi,CPSC 1181
Huimin Lin,CHIN 1115
Huimin Lin,CHIN 1215
Ido Hatam,BIOL 3315
Ido Hatam,BIOL 4315
Ido Hatam,RP 4215
Indigenous Carving 3D,FINA 2262
Interpersonal Communications,CMNS 1115
Intntl Political Economy,POLI 2240
Intr Human Sexulty & Behaviour,HSCI 1120
Intro User Experience Design,WMDD 4825
Intro to Academic Writing,ENGL 1123
Intro to Cdn Law & Legal Inst,CRIM 1116
Intro to Drawing II,RP 1220
Intro to Environmental Ecology,BIOL 1118
Intro to Latin America,LAMS 1100
Intro to Medical Anthro,ANTH 1500
"Intro to Phil: Eth, Soc & Pol",PHIL 1100
Intro to Soci: Strctrs Prcss,SOCI 1121
Intro to Web Programming,WMDD 4820
Intro. to Web Programming,CPSC 1045
Introduction to Genetics,BIOL 2330
Introductory Physics,PHYS 1118
Itrath Syed,WMST 1116
Itrath Syed,WMST 1216
Itrath Syed,WMST 1230
Ivan Surjanovic,BUSM 1500
Ivan Surjanovic,MARK 3210
Ivan Trujillo-Pisanty,PSYC 1115
Ivan Trujillo-Pisanty,PSYC 2321
Ivan Trujillo-Pisanty,PSYC 2331
Ivy Goula,NURS 5110
"Ivy Goula, Christine Nystrom, Julie Devriendt, Yassin Mahat, Yuko Soukup",RP 3165
Jacob Tran,RP 4840
Jae-Hyung Jang,MATH 1170
Jae-Hyung Jang,MATH 1171
Jae-Hyung Jang,MATH 1271
James Barton,PSYC 1215
James Rolke,CHEM 1118
James Rolke,CHEM 1154
Janaina Brusco,BIOL 1190
Janet Douglas,SSRV 1116
Janet Ready,RECR 1160
Janet Ready,RP 2361
Janet Ready,RP 3230
Janice Meier,KINS 1100
Janice Meier,KINS 1110
Jasmyne Rockwell,GERO 1816
Jasmyne Rockwell,RP 2110
Jasmyne Rockwell,RP 2415
Jason Madar,RP 4998
Jennifer Anaquod,ECED 1325
Jennifer Anaquod,RP 1308
Jennifer Armstrong,CRIM 1115
Jennifer Armstrong,CRIM 1125
Jennifer Armstrong,CRIM 1220
Jennifer Armstrong,CRIM 2103
Jennifer Erickson,EDAS 1110
Jennifer Erickson,EDAS 1130
"Jennifer Erickson, Miranda Winn",EDAS 1111
Jennifer Knapp,CLST 1105
Jennifer Knapp,HIST 2210
Jennifer Knapp,LATN 1115
"Jennifer Knapp, Erin Robb, Kimberly Edher",CLST 1110
Jennifer Megan Brousseau,KINS 2262
"Jennifer Megan Brousseau, Dana Maslovat",KINS 2211
Jesica Ortega Nava,RP 4925
Ji Yong Yang,BIOL 1115
Jia Xu,MATH 1170
Jia Xu,MATH 1174
Jian Mardukhi,ECON 1221
Jian Mardukhi,ECON 4800
Jian Mardukhi,ECON 4810
Jill Goldberg,CMNS 1118
Jill Goldberg,ENGL 2226
Joanna Clarke,ENGL 1129
Joanna Clarke,ENGL 2225
Joel Bland,KINS 1150
Joel Bland,KINS 2030
Johanne Penafiel,ENVS 1105
Johanne Penafiel,RP 1114
John Falcus,MARK 1115
John Falcus,MARK 1200
John Falcus,MARK 3200
John Falcus,RP 4840
John Paylor,PSYC 2320
Jonathan Agyeman,RP 4830
Jonathan Chater,PHOT 1100
Jonathan Chater,PHOT 1105
Jonathan Chater,PHOT 1190
Jonathan Newell,ENGL 1100
Jonathan Newell,ENGL 1123
