Prof Name,Course Number
Christine Nehring,ABT 110
Salli Carter,ABT 110
Cheryl Maranda,ABT 110
Andrea Sator,ABT 110
Lucki Kang,ABT 110
Jennifer Ryan,AGRI 123
Renee Prasad,AGRI 123
Chris Bodnar,AGRI 123
Jessica Wang,AGRI 123
Dieter Geesing,AGRI 123
Lauren Erland,AGRI 123
Aleksandra Idzior,AH 100
Michael Coughlin,AH 100
Dale McCartney,AIS 101
Section Pending,AIS 101
Addisu Bailie,AIS 101
Julia Shuker,AIS 101
Linda Pardy,AIS 101
Susan Hampton,AIS 101
Stephanie Gould,AIS 101
Jess Wind,AIS 101
Nicola Mooney,ANTH 102
Keziah Wallis,ANTH 102
ONLINE UFV,ANTH 102
Russell Furse,ASTR 101
Greg St Hilaire,BIO 083
Shannon Guichon,BIO 083
Jane Jae-Kyung Shin,BIO 083
Alan Reid,BIO 083
Natallia Varankovich,BIO 083
Dina Navon,BIO 083
Harley Gordon,BIO 083
Marina Tourlakis,BIO 083
Brenna Hay,BIO 083
Carrie Sim,BIO 083
Debbie Wheeler,BIO 083
Jennifer Barrett,BIO 083
Nathan Bialas,BIO 083
Justin Lee,BIO 083
James Bedard,BIO 083
Shayne Oberhoffner,BIO 083
Sandra Gillespie,BIO 083
Alida Janmaat,BIO 083
Yvonne Dzal,BIO 083
David Fenske,BIO 083
Mariano Mapili,BIO 083
Bassam Nyaeme,BIO 083
Mitra Tabatabaee,BIO 083
Sharon Gillies,BIO 083
David Fenske,BIOC 320
Prachee Sehgal,BUS 100
Kim Milnes,BUS 100
Mike Ivanof,BUS 100
Jason Campbell,BUS 100
Darcia Roache,BUS 100
Sophie Farmani,BUS 100
Njeri Kontulahti,BUS 100
Zubair Raja,BUS 100
Nathanael Arney,BUS 100
Cindy Stewart,BUS 100
Benny Jeyekumar Davidson,BUS 100
Kevin Dewolde,BUS 100
Robert Anderson,BUS 100
Trish Blondin,BUS 100
Kyung Jae Lee,BUS 100
Simily Joseph,BUS 100
Joanne So,BUS 100
Donna Derksen,BUS 100
Diljot Kaur,BUS 100
Liz Wiebe,BUS 100
Alexander Soldat,BUS 100
Kishore Anand,BUS 100
Padma Vipat,BUS 100
Mark Breedveld,BUS 100
David Dobson,BUS 100
Jon Thomas,BUS 100
Susan Bubra,BUS 100
Sana Ramzan,BUS 100
Raymond Leung,BUS 100
Felicia Chong,BUS 100
Amrik Narang,BUS 100
Gerald Palmer,BUS 100
Mariana Toniolo Barrios,BUS 100
Masud Khawaja,BUS 100
Keith Lownie,BUS 100
Quan Cheng,BUS 100
Luciana Turchick Hakak,BUS 100
Harleen Kaur,BUS 100
Saeed Rahman,BUS 100
Chang Lu,BUS 100
Yahya Rashid,BUS 100
Khyati Shetty,BUS 100
Nik Venema,BUS 100
Jake Spooner,CHEM 083
Declan Roshea,CHEM 083
Luis Del Rio,CHEM 083
David Fenske,CHEM 083
Golfam Ghafourifar,CHEM 083
Ben Hui,CHEM 083
Kate Mazloumi,CHEM 083
Vinay Choytun,CHEM 083
Jason Thomas,CHEM 083
Don Mayder,CHEM 083
Cory Beshara,CHEM 083
Linus Chiang,CHEM 083
Leon Pan,CIS 100
Liaqat Ali,CIS 100
Rushdi Alsaleh,CIS 100
Kyung Jae Lee,CIS 100
Ismail El Sayad,CIS 100
Alaeddin Kalentari,CIS 100
Simily Joseph,CIS 100
Jerry Ang,CIS 100
Edward Lo,CIS 100
Farshad Eshghi,CIS 100
Rania Mohammed,CIS 100
Ibrahim Tariq Javed,CIS 100
Ziaul Hossain,CIS 100
Alaeddin Kalantari,CIS 100
Frank Zhang,CIS 100
Mohammed Al Nakshabandi,CIS 100
Reza Abbasi,CIS 100
Jay Yang,CIS 100
Matthew Huang,CIS 100
Ao Ao Feng,CIS 100
Peter Rasquinha,CIS 100
Carl Janzen,CIS 100
Kevin Renso,CIS 100
Parsa Rajabi,CIS 100
Taryn Hubbard,CIVI 200
Natella Isazada,CMNS 125
Shoaib Nasir,CMNS 125
Paul Fontaine,CMNS 125
John Bermingham,CMNS 125
Gabriela Birnfeld Kurtz,CMNS 125
Kamaleddin Azmoodeh,CMNS 125
Lara Jongedijk,CMNS 125
Alexander Grammatikos,CMNS 125
Aiden Buckland,CMNS 125
Melanie Opmeer,CMNS 125
Sajib Ghosh,CMNS 125
Virtue Enyinnaya,CMNS 125
Kam Razavi,CMNS 125
Christopher Towler,CMNS 125
Joy Enyinnaya,CMNS 125
Samantha Hannah,CMNS 125
Matthew Michaud,CMNS 125
Cameron Taylor,CMNS 125
Cheryl Maranda,CMNS 125
Alexandra Yallouz,CMNS 125
Kam Azmoodeh,CMNS 125
Susan Francis,CMNS 125
Sumin Fang,CMNS 125
Kim Norman,CMNS 125
Kelsey Blair,CMNS 125
Melanie Opmeer,CMNS 412
Kam Razavi,CMNS 412
Sumin Fang,CMNS 412
Stephen Chiong,COMP 091
Kevin Renso,COMP 091
David Wang,COMP 091
Farshad Eshghi,COMP 091
Faisal Naeem,COMP 091
Ismail El Sayad,COMP 091
Opeyemi Adesina,COMP 091
Omer Waqar,COMP 091
Frank Zhang,COMP 091
Amir Daneshpajouh,COMP 091
Javed Ahmad,COMP 091
Alaeddin Kalantari,COMP 091
Majid Babaei,COMP 091
Rania Mohammed,COMP 091
Longlong Huang,COMP 091
Mike Trump,CRIM 100
Jonathon Heidt,CRIM 100
Jennifer Armstrong,CRIM 100
Richard Konarski,CRIM 100
Kevin Burk,CRIM 100
Raegan Heidt,CRIM 100
Grant Valentine,CRIM 100
Karine Descormiers,CRIM 100
Alicia Spidel,CRIM 100
Gagandeep Khosa,CRIM 100
Farshid Keramat,CRIM 100
Kelsey Timler,CRIM 100
Amanda McCormick,CRIM 100
Carlos Ponce,CRIM 100
Simon Thomson,CRIM 100
Corinne Schmidt,CRIM 100
Michael Novakowski,CRIM 100
Heather Patry,CRIM 100
Shelley Cole,CRIM 100
Kiran Sidhu,CYC 100
Mark Littlefield,CYC 100
Christy-Ann Lowey,CYC 100
Jordan White,CYC 100
Thais Costa Rabelo Amorim,CYC 100
ONLINE UFV,CYC 100
Kirsten Hargreaves,CYC 100
Christine Slavik,CYC 100
Karen Klenk,DENT 130
Elizabeth McWilliams-Hewitt,ECE 100
Amanda Spooner,ECE 100
Kylee Cox,ECE 100
Section Pending,ECON 100
David Dobson,ECON 100
Michael Batu,ECON 100
Felicia Chong,ECON 100
Quan Cheng,ECON 100
Michael Maschek,ECON 100
Nik Venema,ECON 100
Sana Ramzan,ECON 100
Kari Gustafson,EDAS 181
John MacCormack,EDAS 181
Jas Uppal,EDUC 100
Vandy Britton,EDUC 100
Christine Abbot,EDUC 100
Amrit Cojocaru,EDUC 100
Joanne Robertson,EDUC 100
Judy Larsen,EDUC 100
Stephan Stipp,EDUC 100
Chuck Charles,EDUC 100
Deirdre DeGagne,EDUC 100
Gary Horton,EDUC 100
Sarine Sadhra,EDUC 100
Mandeep Kaur,EDUC 100
Trevor Murray,EDUC 100
Earl Pannila,EDUC 100
Eric Davies,EDUC 100
Beverly Jones,ENGL 052
Allison Kilgannon,ENGL 052
Beth Carson,ENGL 052
ONLINE UFV,ENGL 052
John Carroll,ENGL 052
Taslim Jaffer,ENGL 052
Tim Haner,ENGL 052
Carl Peters,ENGL 052
Ron Sweeney,ENGL 052
Karen Selesky,ENGL 052
Keith Harms,ENGL 052
Jacqueline Taylor,ENGL 052
Elisabeth MacDonald-Murray,ENGL 052
Adrea Johnson,ENGL 052
Helene Littmann,ENGL 052
Alois Sieben,ENGL 052
Jacky Bolding,ENGL 052
Rachel Bodnariuc,ENGL 052
Linda Kaastra,ENGL 052
Abhi Rao,ENGL 052
Sanja Garic-Komnenic,ENGL 052
Prabhjot Parmar,ENGL 052
John Pitcher,ENGL 052
Ceilidh Hart,ENGL 052
Amy Tang,ENGL 052
Alex Wetmore,ENGL 052
Rob Taylor,ENGL 052
Michelle Superle,ENGL 052
Heather McAlpine,ENGL 052
Kelsey Blair,ENGL 052
Trevor Beugeling,ENGL 052
Ryan McDonald,ENGL 052
Derek Harnett,ENGL 052
Jen Martel,ENV 111
John Acharibasam,ENV 111
Mariano Mapili,ENV 111
Stefania Pizzirani,ENV 111
Stefania Pizzirani,ENV 412
Alejandro Yoshizawa,FILM 110
Andrew Iverson,FREN 101
Williams Atanga,FREN 101
Kristina Daneluz,FREN 101
Alan Cameron,FREN 101
Ghizlane Laghzaoui,FREN 101
Marcia Higuchi,GD 101
Trevor Embury,GD 101
Richard Heywood,GD 101
Karin Jager,GD 101
Shayne Letain,GD 101
David Bergman,GD 101
Jessica Delves,GD 101
Miranda Ting,GD 101
Yin Hang Lee,GD 101
Matej Balaz,GD 101
Jennifer Deon,GD 101
Kirsten Van Houten,GDS 100
Scott Shupe,GEOG 103
