Prof Name,Course Number
"Lan, Gabrielle",ACCT 1045
"Lan, Gabrielle",ACCT 2001
"Ong, Clarisse",ACCT 2035
"Lan, Gabrielle",ACCT 2045
"Schubert, Allison",ACED 0700
"Schubert, Allison",ACED 0709
"Schubert, Allison",ACED 0715
"Schubert, Allison",ACED 0760
"Tremblay, Derek",APSM 1201
"Tremblay, Derek",APSM 1202
"Tremblay, Derek",APSM 1203
"Tremblay, Derek",APSM 1204
"Tremblay, Derek",APSM 1205
"Klassen, Maria",ASLD 2180
"Lukits, Sherry",BIOL 0861
"Lum, Elaine",BIOL 0861
"MacKenzie, Michele",BIOL 0861
"Mohammadbeigi, Faezeh",BIOL 0861
"Lukits, Sherry",BIOL 0871
"Lum, Elaine",BIOL 0871
"MacKenzie, Michele",BIOL 0871
"Mohammadbeigi, Faezeh",BIOL 0871
"Lawrence, Gary",BIOL 0983
"Mohammadbeigi, Faezeh",BIOL 0983
"Lawrence, Gary",BIOL 0993
"Mohammadbeigi, Faezeh",BIOL 0993
"Morlin, Maria",BIOL 1100
"Clarkson, Bruce",BIOL 1120
"Curry, Mark",BIOL 1120
"Morlin, Maria",BIOL 1120
"Gallagher, Zoe",BIOL 1220
"Gordon, Joyce",BIOL 1220
"Joseph, Nancy",BIOL 1220
"Joseph, Nancy",BIOL 1602
"Miletic, Susan",CAAW 0631
"Miletic, Susan",CAAW 0632
"Miletic, Susan",CAAW 0633
"Miletic, Susan",CAAW 0634
"Miletic, Susan",CAAW 0635
"Miletic, Susan",CAAW 0636
"Miletic, Susan",CAAW 0637
"Miletic, Susan",CAAW 0638
"Miletic, Susan",CAAW 0639
"Rochfort, Nuala",CCED 0605
"Rochfort, Nuala",CCED 0606
"Painter, David",CCED 0608
"Painter, David",CCED 0621
"Painter, David",CCED 0631
"Balagopal, Raji",CHEM 0861
"Bhanot, Manav",CHEM 0861
"Mohammadbeigi, Faezeh",CHEM 0861
"Monteiro de Oliveira, Josie",CHEM 0861
"Moqadasi, Samar",CHEM 0861
"Balagopal, Raji",CHEM 0871
"Bhanot, Manav",CHEM 0871
"Van, Diem Ly",CHEM 0871
"Monteiro de Oliveira, Josie",CHEM 0983
